Call Start Time,Duration,,,,,,,,,,,,,,,,,,
12/18/2021 2:02:43 PM -08:00,00:00:53,,,,,,,,,,,,,,,,,,
12/18/2021 1:59:58 PM -08:00,00:01:00,,,,,,,,,,,,,,,,,,
12/18/2021 1:59:22 PM -08:00,00:00:30,,,,,,,,,,,,,,,,,,
12/18/2021 1:58:50 PM -08:00,00:00:24,,,,,,,,,,,,,,,,,,
12/18/2021 1:50:30 PM -08:00,00:47:54,,,,,,,,,,,,,,,,,,
12/18/2021 1:47:44 PM -08:00,00:02:55,,,,,,,,,,,,,,,,,,
12/18/2021 1:20:38 PM -08:00,00:04:21,,,,,,,,,,,,,,,,,,
12/18/2021 1:16:15 PM -08:00,00:01:01,,,,,,,,,,,,,,,,,,
12/18/2021 1:10:12 PM -08:00,00:02:22,,,,,,,,,,,,,,,,,,
12/18/2021 1:07:58 PM -08:00,00:12:52,,,,,,,,,,,,,,,,,,
12/18/2021 1:05:57 PM -08:00,00:01:46,,,,,,,,,,,,,,,,,,
12/18/2021 1:00:05 PM -08:00,00:04:28,,,,,,,,,,,,,,,,,,
12/18/2021 12:59:13 PM -08:00,00:02:16,,,,,,,,,,,,,,,,,,
12/18/2021 12:54:13 PM -08:00,00:02:06,,,,,,,,,,,,,,,,,,
12/18/2021 12:34:53 PM -08:00,00:00:47,,,,,,,,,,,,,,,,,,
12/18/2021 12:27:08 PM -08:00,00:01:11,,,,,,,,,,,,,,,,,,
12/18/2021 12:20:26 PM -08:00,00:03:05,,,,,,,,,,,,,,,,,,
12/18/2021 12:12:32 PM -08:00,00:00:30,,,,,,,,,,,,,,,,,,
12/18/2021 12:10:04 PM -08:00,00:01:18,,,,,,,,,,,,,,,,,,
12/18/2021 12:02:34 PM -08:00,00:00:49,,,,,,,,,,,,,,,,,,
12/18/2021 11:54:19 AM -08:00,00:01:04,,,,,,,,,,,,,,,,,,
12/18/2021 11:54:16 AM -08:00,00:47:04,,,,,,,,,,,,,,,,,,
12/18/2021 11:50:15 AM -08:00,00:00:27,,,,,,,,,,,,,,,,,,
12/18/2021 11:49:48 AM -08:00,00:00:52,,,,,,,,,,,,,,,,,,
12/18/2021 11:48:20 AM -08:00,00:00:39,,,,,,,,,,,,,,,,,,
12/18/2021 11:38:31 AM -08:00,00:06:55,,,,,,,,,,,,,,,,,,
12/18/2021 11:37:28 AM -08:00,00:00:42,,,,,,,,,,,,,,,,,,
12/18/2021 11:28:53 AM -08:00,00:09:31,,,,,,,,,,,,,,,,,,
12/18/2021 11:18:34 AM -08:00,00:00:17,,,,,,,,,,,,,,,,,,
